0, 0.139000 
1, 0.158000 
2, 0.154000 
3, 0.156000 
4, 0.155000 
5, 0.156000 
6, 0.153000 
7, 0.163000 
8, 0.155000 
9, 0.156000 
 ============== 
speakers number: 2 
2; 8.570000 
3; 8.611000 
4; 8.596000 
5; 8.566000 
6; 8.565000 
7; 8.597000 
8; 8.569000 
9; 8.564000 
speakers number: 58 
0; 8.748000 
1; 8.956000 
2; 8.919000 
3; 8.880000 
4; 8.884000 
5; 8.912000 
6; 8.880000 
7; 8.880000 
8; 8.909000 
9; 8.928000 
speakers number: 60 
0; 9.001000 
1; 9.543000 
2; 9.183000 
3; 9.221000 
4; 9.183000 
5; 9.207000 
6; 9.213000 
7; 9.179000 
8; 9.261000 
9; 9.198000 
speakers number: 62 
0; 9.340000 
1; 9.483000 
2; 9.610000 
3; 9.504000 
4; 9.515000 
5; 9.483000 
6; 9.509000 
7; 9.484000 
8; 9.510000 
9; 9.505000 
speakers number: 64 
0; 9.601000 
1; 9.840000 
2; 9.791000 
3; 9.796000 
4; 9.788000 
5; 9.869000 
6; 9.790000 
7; 9.831000 
8; 9.821000 
9; 9.793000 
speakers number: 66 
0; 10.452000 
1; 10.152000 
2; 10.143000 
3; 10.111000 
4; 10.096000 
5; 10.159000 
6; 10.097000 
7; 10.106000 
8; 10.119000 
9; 10.135000 
speakers number: 68 
0; 10.317000 
1; 10.405000 
2; 10.443000 
3; 10.449000 
4; 10.428000 
5; 10.404000 
6; 10.429000 
7; 10.405000 
8; 10.396000 
9; 10.842000 
speakers number: 70 
0; 11.518000 
1; 10.728000 
2; 10.979000 
3; 10.726000 
4; 10.711000 
5; 11.872000 
6; 10.723000 
7; 10.775000 
8; 10.718000 
9; 10.765000 
speakers number: 72 
0; 11.801000 
1; 11.202000 
2; 11.023000 
3; 11.041000 
4; 11.015000 
5; 11.024000 
6; 11.071000 
7; 11.027000 
8; 11.025000 
9; 11.019000 
speakers number: 74 
0; 12.192000 
1; 11.477000 
2; 11.455000 
3; 11.345000 
4; 11.324000 
5; 11.449000 
6; 11.617000 
7; 11.923000 
8; 11.332000 
9; 11.327000 
speakers number: 76 
0; 12.627000 
1; 11.644000 
2; 11.637000 
3; 11.731000 
4; 11.636000 
5; 11.634000 
6; 11.641000 
7; 11.743000 
8; 11.927000 
9; 11.630000 
speakers number: 78 
0; 12.758000 
1; 11.956000 
2; 12.104000 
3; 12.109000 
4; 11.943000 
5; 13.034000 
6; 12.124000 
7; 12.002000 
8; 12.009000 
9; 11.951000 
speakers number: 80 
0; 13.455000 
1; 12.261000 
2; 12.255000 
3; 12.489000 
4; 12.248000 
5; 12.253000 
6; 12.248000 
7; 12.261000 
8; 12.303000 
9; 12.254000 
speakers number: 82 
0; 13.552000 
1; 12.599000 
2; 12.872000 
3; 12.710000 
4; 12.587000 
5; 12.605000 
6; 12.581000 
7; 12.567000 
8; 12.640000 
9; 12.606000 
speakers number: 84 
0; 13.963000 
1; 12.979000 
2; 12.873000 
3; 12.990000 
4; 12.868000 
5; 12.969000 
6; 12.871000 
7; 13.009000 
8; 12.921000 
9; 12.845000 
speakers number: 86 
0; 14.117000 
1; 13.184000 
2; 13.311000 
3; 13.266000 
4; 13.177000 
5; 13.154000 
6; 13.175000 
7; 13.220000 
8; 13.220000 
9; 13.161000 
speakers number: 88 
0; 14.603000 
1; 13.498000 
2; 13.708000 
3; 13.490000 
4; 13.482000 
5; 13.483000 
6; 13.775000 
7; 13.495000 
8; 13.486000 
9; 13.537000 
speakers number: 90 
0; 14.973000 
1; 13.939000 
2; 13.893000 
3; 13.980000 
4; 13.777000 
5; 14.056000 
6; 13.833000 
7; 13.813000 
8; 13.931000 
9; 13.781000 
speakers number: 92 
0; 15.290000 
1; 14.092000 
2; 14.092000 
3; 14.092000 
4; 14.245000 
5; 14.095000 
6; 14.241000 
7; 14.088000 
8; 14.083000 
9; 14.158000 
speakers number: 94 
0; 16.750000 
1; 14.542000 
2; 14.402000 
3; 15.104000 
4; 14.404000 
5; 14.378000 
6; 14.387000 
7; 14.544000 
8; 14.388000 
9; 14.381000 
speakers number: 96 
0; 15.774000 
1; 14.899000 
2; 14.698000 
3; 14.703000 
4; 14.766000 
5; 14.884000 
6; 14.705000 
7; 14.788000 
8; 14.742000 
9; 14.800000 
speakers number: 98 
0; 16.513000 
1; 15.021000 
2; 15.043000 
3; 15.075000 
4; 15.155000 
5; 15.319000 
6; 15.083000 
7; 15.109000 
8; 15.270000 
9; 15.193000 
speakers number: 100 
0; 16.568000 
1; 15.330000 
2; 15.475000 
3; 15.309000 
4; 15.383000 
5; 15.538000 
6; 15.371000 
7; 15.304000 
8; 15.304000 
9; 15.357000 
